State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield_tons_per_ha,area_percentile,State_Name_enc,Season_enc,Crop_enc
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Arecanut,1254.0,2000.0,1.5949,0.4399,0,1,2
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Other Kharif pulses,2.0,1.0,0.5,0.0156,0,1,74
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0,3.1471,0.0616,0,1,95
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176.0,641.0,3.642,0.3067,0,4,7
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Cashewnut,720.0,165.0,0.2292,0.4841,0,4,22
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168.0,65100000.0,3583.2232,0.7926,0,4,28
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Dry ginger,36.0,100.0,2.7778,0.3406,0,4,38
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sugarcane,1.0,2.0,2.0,0.0072,0,4,106
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sweet potato,5.0,15.0,3.0,0.1026,0,4,108
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Tapioca,40.0,169.0,4.225,0.3141,0,4,109
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Arecanut,1254.0,2061.0,1.6435,0.4399,0,1,2
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Other Kharif pulses,2.0,1.0,0.5,0.0156,0,1,74
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0,3.6145,0.054,0,1,95
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Cashewnut,719.0,192.0,0.267,0.4827,0,4,22
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190.0,64430000.0,3542.0561,0.7937,0,4,28
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Dry ginger,46.0,100.0,2.1739,0.3691,0,4,38
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sugarcane,1.0,1.0,1.0,0.0072,0,4,106
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sweet potato,11.0,33.0,3.0,0.1898,0,4,108
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84,2.7,0.0794,0,1,95
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Arecanut,1258.0,2083.0,1.6558,0.4412,0,4,2
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Banana,213.0,1278.0,6.0,0.3294,0,4,7
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Black pepper,63.0,13.5,0.2143,0.3169,0,4,15
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Cashewnut,719.0,208.0,0.2893,0.4827,0,4,22
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Coconut,18240.0,67490000.0,3700.1096,0.7942,0,4,28
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry chillies,413.0,28.8,0.0697,0.5726,0,4,37
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry ginger,47.3,133.0,2.8118,0.3729,0,4,38
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Sugarcane,5.0,40.0,8.0,0.038,0,4,106
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17,1.734,0.0432,0,1,95
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Arecanut,1261.0,1525.0,1.2094,0.4425,0,4,2
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Banana,266.0,1763.0,6.6278,0.3485,0,4,7
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Black pepper,75.5,15.86,0.2101,0.3485,0,4,15
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Cashewnut,717.0,208.5,0.2908,0.4794,0,4,22
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Coconut,18284.74,68580000.0,3750.6686,0.7947,0,4,28
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Dry chillies,60.0,102.0,1.7,0.2045,0,4,37
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Dry ginger,102.0,326.4,3.2,0.5099,0,4,38
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,other oilseeds,4.2,0.3,0.0714,0.1061,0,4,123
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57,1.3708,0.0436,0,1,95
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Arecanut,1264.7,805.85,0.6372,0.4447,0,4,2
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Banana,66.42,404.12,6.0843,0.2282,0,4,7
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Black pepper,85.0,15.86,0.1866,0.3673,0,4,15
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Cashewnut,683.5,197.9,0.2895,0.4663,0,4,22
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Coconut,18394.7,52380000.0,2847.5594,0.7957,0,4,28
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Dry chillies,60.0,145.2,2.42,0.2045,0,4,37
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Dry ginger,118.0,366.0,3.1017,0.5402,0,4,38
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,other oilseeds,1.0,0.11,0.11,0.0194,0,4,123
Andaman and Nicobar Islands,NICOBARS,2005,Kharif,Rice,2.09,12.06,5.7703,0.0068,0,1,95
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Banana,22.0,582.0,26.4545,0.1712,0,4,7
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Black pepper,41.0,0.1,0.0024,0.2406,0,4,15
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Cashewnut,450.0,55.8,0.124,0.4153,0,4,22
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Coconut,13876.57,52030000.0,3749.4856,0.738,0,4,28
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Turmeric,10.0,70.0,7.0,0.2612,0,4,114
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Arecanut,896.0,477.6,0.533,0.3732,0,4,2
